,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
1.56472,13.10753,61.52245,88,59,119.96275
1.565,13.42121,61.5592,88,59,120.06968
1.56528,13.64887,61.54688,88,59,120.10532
1.56555,13.78403,61.51843,74,54,120.2126
1.56583,13.71688,61.48306,74,54,120.25334
1.56611,13.59952,61.46166,74,54,120.37959
1.56639,13.65129,61.46166,74,54,120.41422
1.56667,13.65587,61.45788,74,54,120.62116
1.56694,13.60479,61.44347,74,54,120.72018
1.56722,13.53798,61.44536,74,54,120.79588
1.5675,13.44232,61.44646,74,54,120.81812
1.56778,13.37339,61.45021,92,55,120.80553
1.56805,13.36153,61.4665,92,55,120.94312
1.56833,13.39613,61.46914,92,55,120.86005
1.56861,13.46191,61.46917,92,55,120.97517
1.56889,13.54938,61.46922,92,55,121.08457
1.56917,13.59959,61.46549,92,55,121.13438
1.56944,13.61726,61.45522,92,55,121.11121
1.56972,13.61254,61.45057,92,55,121.06191
1.57,13.54928,61.44302,82,55,121.08815
1.57028,13.47212,61.43919,82,55,121.02126
1.57055,13.41868,61.44757,82,55,121.15194
1.57083,13.3765,61.45411,82,55,121.13275
1.57111,13.36467,61.46166,82,55,121.02488
1.57139,13.42584,61.46917,82,55,120.97492
1.57167,13.46676,61.46922,82,55,120.94578
1.57194,13.51786,61.46921,82,55,120.86736
1.57222,13.58358,61.46925,83,55,120.8912
1.5725,13.60615,61.46363,83,55,121.03583
1.57278,13.60394,61.45152,83,55,121.006
1.57305,13.55306,61.43564,83,55,120.87038
1.57333,13.47393,61.41887,83,55,120.89504
1.57361,13.38067,61.40781,83,55,120.70056
1.57389,13.30824,61.40291,83,55,120.66496
1.57417,13.3256,61.41012,83,55,120.65883
1.57444,13.39255,61.42651,86,57,120.60742
1.57472,13.47443,61.43415,86,57,120.59779
1.575,13.55575,61.43042,86,57,120.66026
1.57528,13.58674,61.42518,86,57,120.65503
1.57555,13.55693,61.40697,86,57,120.64595
1.57583,13.53825,61.39712,86,57,120.63686
1.57611,13.57066,61.38999,86,57,120.62517
1.57639,13.69449,61.38787,86,57,120.60352
1.57667,13.90235,61.38493,90,59,120.57842
1.57694,14.01685,61.37179,90,59,120.55222
1.57722,13.85357,61.39291,90,59,120.51797
1.5775,13.64082,61.42857,90,59,120.48069
1.57778,13.69957,61.48299,90,59,120.44751
1.57805,13.84832,61.50979,90,59,120.40747
1.57833,13.93525,61.45178,90,59,120.03111
1.57861,13.96238,61.36903,90,59,120.02345
1.57889,13.35292,61.28686,94,55,120.06505
1.57917,12.92007,61.27405,94,55,120.07362
1.57944,12.93371,61.32247,94,55,120.27376
1.57972,12.93543,61.36769,94,55,120.46664
1.58,13.20821,61.41078,94,55,120.605
1.58028,13.34117,61.4252,94,55,120.84343
1.58055,13.41042,61.43235,94,55,120.91597
1.58083,13.47604,61.44672,94,55,120.97412
1.58111,13.57813,61.44291,91,34,121.16599
1.58139,13.5978,61.43156,91,34,121.28661
1.58167,13.57232,61.42399,91,34,121.33541
1.58194,13.51891,61.40998,91,34,121.44206
1.58222,13.43869,61.40876,91,34,121.54372
1.5825,13.40311,61.41812,91,34,121.50383
1.58278,13.39733,61.42912,91,34,121.66339
1.58305,13.4381,61.44388,91,34,121.77718
1.58333,13.50082,61.4549,94,52,121.77397
1.58361,13.56467,61.45795,94,52,121.82051
1.58389,13.61967,61.4466,94,52,121.86985
1.58417,13.60704,61.42841,94,52,121.7303
1.58444,13.58373,61.41028,94,52,121.80016
1.58472,13.54733,61.39557,94,52,121.90884
1.585,13.47087,61.38619,94,52,121.85246
1.58528,13.4379,61.38734,94,52,121.82527
1.58555,13.43986,61.39,95,51,121.78269
1.58583,13.45332,61.39002,95,51,121.84065
